34	15	169	-100	-227	-3861	-662	741	2068	2303	2101	1868	1022	817	831	444	-108	-366	-522	-598	-511	-374	-478
126	12	71	-56	-5958	-5319	-2856	-457	1985	2401	2889	2867	2790	2142	1171	909	297	196	-432	-873	-836	-916	-634
45	45	66	-275	-8289	-4811	-2131	1355	2714	3472	4090	4649	4139	3408	2313	1876	1294	1030	362	-1362	-2151	-2543	-2578
-63	27	68	-114	-4744	-4244	-667	155	1395	2052	2502	1865	1510	1263	870	594	113	18	-429	-429	-691	-691	-691
-72	39	99	20	-189	-1010	-4646	-3337	838	1804	2521	2196	1661	1145	758	215	213	-95	-240	-496	-622	-734	-684
22	-82	-182	-5918	-4322	-663	1494	2269	2568	3273	3077	2760	2287	1607	1607	876	-263	-1165	-1645	-1548	-1444	-1167	-766
117	-83	-83	-83	-68	-5425	-4454	-3030	-3030	-3030	2456	2523	1952	1724	1271	1084	1084	-189	-525	-525	-525	-492	-690
13	-78	-12	-155	-2026	-6192	-2055	-115	1884	3065	3341	3374	3190	2088	1916	1170	838	21	-658	-1012	-1235	-1142	-995
110	-47	-11	44	-2	-2	-2	-118	1101	1681	1710	1346	1346	1346	503	111	178	178	-389	-389	-229	-498	-498
157	143	45	-150	-3273	-5165	-2536	-317	1931	1994	2244	1974	1493	976	893	136	-32	-97	-410	-483	-594	-548	-512
3	58	-129	-41	-214	-5210	-3679	-1363	953	2146	2423	2044	2042	1433	1277	712	315	13	-542	-502	-502	-502	-835
56	-121	-1	-1	-5247	-2064	-2064	-2064	-2064	2857	2962	2933	2369	1389	762	-103	-358	-416	-603	-742	-661	-758	-531

-32	-24	-24	35	-24	-24	-112	-167	-183	-183	-3752	-1233	815	1621	1957	1957	2680	2529	1844	1423	1302	1302	63
129	124	60	203	134	17	17	61	73	-15	-6337	-6337	-5950	-3972	-1548	879	2407	2639	3199	3559	3299	2693	1421
-1260	1394	2606	2913	3727	4163	4005	3323	1865	803	-4159	-1643	-1181	998	1233	274	216	348	-261	-89	-114	-229	244
-56	-56	-117	-112	-175	201	201	150	-250	-250	-3338	-1296	-243	-243	-243	1572	1417	1009	1009	687	348	154	162
9	50	-83	64	-19	-60	39	-64	138	-176	-3265	-3056	-1113	656	1100	1659	2310	1934	1214	680	410	195	-303
-177	104	-88	-88	-88	-44	159	69	52	-83	-4321	-2027	177	1576	1576	2137	1961	1653	1181	858	808	808	808
-286	-59	-227	19	-122	178	-60	164	-78	-4653	-5663	-2046	-802	1021	2062	3220	3041	2416	1465	1068	802	467	-169
-225	-90	-71	-197	5	36	-29	90	-63	-1797	-3359	-1816	836	1342	1618	2386	2160	1718	1104	590	276	1	-65
-153	-75	-61	42	42	42	29	124	38	-2417	-5172	-5172	-5172	1611	2133	2133	2133	3006	2030	1583	1372	1372	1372
9	-27	-32	-75	48	48	48	-83	-332	-3912	-5641	-5641	-5641	1068	2205	3053	3728	3728	3728	2331	1613	726	91
-218	-141	-5	94	-5	-80	31	93	-230	-4250	-4912	-1679	1090	1874	2443	2856	2437	1864	1498	1025	418	249	-90
-15	-15	39	135	-23	-85	41	-145	-56	-194	-4257	-2873	-1703	300	1598	2190	2318	1769	1477	1052	570	352	-45
-108	139	91	-226	-160	-160	-160	-47	-8	-2437	-5357	-1023	2317	2868	2868	3283	3283	2876	2358	1655	1078	-75	-75

99	-35	59	6	6	6	33	-20	-149	-149	4545	2081	-762	-762	-1523	-1523	-2148	-1814	-1606	-1039	-1039	-415	10	148
-37	-41	-150	-133	-173	-173	-68	127	87	-14	6957	4386	757	-1013	-1886	-1886	-2572	-3322	-3868	-3589	-2241	-1870	-872	-415
-62	101	-81	61	129	41	154	243	65	1994	3910	2135	-453	-1316	-1525	-1603	-1581	-1366	-1129	-730	-664	-273	136	426
81	-71	-116	-164	74	-103	-39	40	49	333	3419	1017	-947	-1765	-1765	-2508	-2956	-2941	-2829	-2543	-910	-523	-111	316
106	106	186	92	-87	-127	1	114	139	4041	4217	1583	-1361	-1822	-2258	-2138	-2035	-1450	-1321	-748	-268	116	228	555
-108	-41	-12	15	134	-37	-287	-204	54	212	5485	5485	4890	1417	-454	-1958	-3253	-2962	-2534	-2249	-1601	-1250	-1014	-594
63	75	13	-228	28	-185	50	100	100	100	6107	2590	283	-1749	-2176	-3183	-3093	-2925	-2676	-2471	-1525	-577	-577	233
-96	168	-21	72	72	75	256	8	151	263	5569	4336	1527	-829	-2319	-2884	-2857	-2842	-2451	-1505	-1024	-281	-281	58
-16	164	60	63	-163	-163	19	-107	198	160	4046	3966	444	-945	-1368	-2621	-2381	-2159	-1718	-1072	-1072	-424	-51	332
428	374	486	232	444	444	444	444	21	-230	5441	3642	3642	3642	-2152	-2358	-2509	-2509	-2509	-1779	-793	-497	-135	-135
43	11	106	-11	-56	-249	-242	-163	235	2997	4745	4745	-1467	-1699	-1475	-1118	-1109	-1109	-1109	-305	-204	-171	48	48
-50	-115	-31	91	91	91	24	3	73	132	6334	4657	1447	1447	-1713	-1882	-1882	-1882	-1882	-2549	-1774	-1300	-1300	225

90	-14	-6	94	26	189	902	3824	413	-1098	-1487	-1676	-1693	-1692	-1329	-1308	-861	-686	-304	-140	296	382	382	526
-188	-179	-96	-96	128	2046	2516	1423	-1003	-1925	-2317	-1995	-1124	-961	-847	-602	-291	-153	104	541	781	454	300	266
127	136	-38	-8	-7	169	3602	-246	-1286	-1802	-1920	-1646	-1294	-466	-373	-194	16	442	526	383	372	323	240	92
-42	41	215	110	144	5137	2741	916	-695	-1045	-2166	-2763	-2557	-2151	-1724	-1014	-591	-327	129	520	618	828	772	1044
293	330	330	330	4439	1662	-1496	-1961	-2318	-2318	-2437	-2451	-1611	-1268	-982	-682	-339	191	506	521	720	908	860	907
-36	68	227	1780	5026	3288	405	-690	-2168	-2638	-3051	-2654	-2522	-2190	-1699	-1273	-684	141	797	1589	1782	1847	1526	1232
34	-72	46	248	5512	5512	5512	-841	-2049	-2420	-2771	-2524	-2524	-1774	-1334	-1050	-409	-409	-409	652	985	1103	859	971
152	152	15	106	2527	6414	6414	490	-2481	-3350	-3666	-3383	-3368	-2794	-2422	-1434	-1434	-1213	-129	1012	2214	2460	2333	1997
57	-18	-39	47	310	5293	4593	2307	-1055	-2139	-2343	-2480	-2163	-1731	-1568	-1301	-753	-398	36	324	675	865	828	844
-58	-46	86	86	86	5474	2161	1370	-1342	-1673	-1942	-1942	-1942	-1924	-1509	-1443	-1443	-433	-116	174	505	566	566	875
67	36	127	25	125	386	4740	3856	288	-915	-1470	-1829	-1911	-1338	-1174	-881	-881	-421	-233	-39	158	189	412	595
