-7	22	-52	-98	-246	-5189	-2207	152	1868	2584	2609	1991	986	847	766	419	-40	-223	-226	-312	-409	-444	-384
138	66	-2	-138	-6160	-5914	-2955	-99	2397	2894	3452	3143	2880	1850	632	388	-57	-47	-172	-388	-268	-443	-449
-7	-7	1	-394	-8324	-4489	-1180	2002	3147	3613	4089	4032	3013	2071	1410	1293	456	-335	-871	-318	-205	-548	-903
-9	-33	-70	-24	-5168	-5405	-1991	-333	1443	2468	3017	2062	1440	1090	738	335	-41	-210	-220	-188	-327	-327	-327
-17	-5	-7	-96	-222	-1060	-5068	-3774	1616	2276	2277	1890	908	458	248	134	120	-94	-76	-80	-291	-255	-177
14	54	28	-6808	-6511	-2774	-159	1492	2029	3088	3897	2936	1275	112	112	-269	-588	-293	157	-497	-612	-533	-611
-18	-43	-43	-43	-129	-5676	-5187	-3480	-3480	-3480	2648	2564	2009	1543	1106	666	666	-199	-263	-263	-263	-296	-417
12	0	54	-44	-1980	-7012	-3117	103	2420	3564	3883	3690	3132	1727	1404	877	443	-59	-374	-447	-327	-547	-800
0	-32	-17	-110	-135	-135	-135	-796	1546	2223	2240	1632	1632	1632	286	31	-72	-72	-350	-350	-339	-370	-370
-78	-75	-41	-129	-3469	-5632	-3328	-911	2288	2874	2946	2426	1935	1234	867	28	-199	-319	-470	-549	-612	-496	-397
-15	46	72	-14	-213	-5460	-4557	-2050	1183	2878	2988	2603	2110	1369	943	395	115	-203	-539	-592	-592	-592	-574
-38	-22	-52	-52	-6016	-3605	-3605	-3605	-3605	3115	3340	3232	2274	1131	639	-30	-154	-265	-429	-490	-647	-786	-624

7	33	-39	-51	-77	-77	82	43	6	6	2364	128	-1352	-2009	-2245	-2245	-1885	-796	-453	-139	-2	-2	228
133	85	-83	-141	-65	-8	-8	44	41	178	5980	5980	2884	551	-1507	-3290	-4338	-4430	-5094	-5300	-4375	-3168	-1502
-2441	-4487	-5193	-5180	-4630	-4555	-3611	-3002	-2214	-1482	12645	6	1527	488	-1293	-801	-864	-1284	-1088	-1067	-748	-321	-117
-110	-110	-96	-105	-75	35	35	231	250	250	3309	904	256	256	256	-1284	-1270	-906	-906	-441	-165	-19	94
26	-6	81	82	107	67	20	-36	27	181	3225	1825	-210	-1884	-2081	-1079	-811	-785	-821	-424	-131	-172	-421
137	59	10	10	10	-7	-24	18	-26	-3	3898	957	-1000	-1640	-1640	-1516	-1420	-1140	-732	-444	-335	-335	-335
-99	-76	-59	59	-64	46	43	248	219	4449	4749	634	-726	-1886	-1609	-1770	-1530	-1000	-791	-578	-415	-315	-25
8	4	68	7	24	-13	34	84	142	1817	2681	637	-1719	-1483	-1029	-849	-938	-899	-825	-453	-325	-100	112
-3	18	32	9	9	9	63	122	60	2537	5276	5276	5276	-2111	-2338	-2338	-2338	-2035	-1270	-995	-671	-671	-671
-18	-93	-162	-107	-16	-16	-16	62	160	3321	3792	3792	3792	-3045	-2393	-2039	-1278	-1278	-1278	-252	-328	-375	-557
44	103	162	101	23	-8	34	101	134	4217	4584	996	-1680	-1842	-1856	-1852	-1690	-1360	-1149	-793	-617	-302	-131
7	7	5	-22	-90	-84	-72	-31	14	177	4054	1954	965	-776	-1339	-1456	-1233	-924	-827	-699	-545	-157	-34
58	82	6	-28	14	14	14	47	75	2198	4421	-478	-2177	-2006	-2006	-2111	-2111	-1204	-986	-851	-653	-87	-87

63	4	-47	-23	-23	-23	45	33	3	3	4530	2148	-1338	-1338	-1973	-1973	-1906	-1474	-1153	-382	-382	133	276	319
55	109	32	4	-15	-15	-49	-127	-213	-91	6061	3655	-591	-2187	-2746	-2746	-3097	-3312	-2707	-2115	-204	-54	29	371
12	66	29	-26	35	94	83	158	162	1930	4232	2351	-849	-2008	-2108	-1885	-1493	-939	-729	-384	-221	6	228	327
-154	-200	-153	-110	0	114	221	176	65	137	3222	171	-2060	-2337	-2337	-2506	-2425	-1931	-1686	-1383	-65	381	709	747
69	35	32	52	-22	-5	28	100	133	3631	4201	1740	-1635	-2005	-2399	-1991	-1634	-927	-472	-80	9	36	106	327
119	34	54	45	60	92	160	144	125	19	5490	5490	4952	853	-1239	-2360	-3164	-2429	-1695	-1191	-571	-157	-66	445
-15	-128	-67	-132	36	-3	-53	-81	-81	-81	7752	4171	1221	-1680	-2350	-3799	-3556	-3026	-1414	-1027	-149	663	663	662
3	113	82	146	146	54	114	154	116	-22	4580	3007	20	-2376	-2268	-2366	-2056	-1815	-1584	-631	-244	157	157	524
-128	-74	36	61	-38	-38	68	57	119	222	3243	2221	-1498	-2303	-1729	-1215	-1312	-1182	-751	-541	-541	91	323	558
-292	-418	-414	-378	-224	-224	-224	-224	6	26	6260	4026	4026	4026	-2506	-2603	-2612	-2612	-2612	-1404	-177	-8	74	74
180	13	80	99	87	79	-143	-188	140	2869	5108	5108	-1243	-1620	-1761	-1528	-1460	-1460	-1460	-624	-426	-160	-119	-119
145	124	183	263	263	263	146	105	40	-94	5988	3514	87	87	-1893	-2055	-2055	-2055	-2055	-1414	-576	-327	-327	566

56	33	-36	-36	-123	-124	-1208	-5224	-1365	1955	2799	2725	2490	1941	1546	1046	773	398	110	-56	-457	-457	-457	-366
27	6	26	26	-63	-2370	-4791	-3961	-161	2462	3226	2975	1417	1056	868	324	30	-4	90	0	-237	-382	-467	-468
-96	-57	-47	-71	-63	-183	-5484	-1702	798	2235	2798	2597	1845	775	580	172	12	-56	-28	-136	-261	-290	-279	-339
-92	-62	0	43	3	-6049	-3378	-1236	1240	2348	2658	2249	1820	1497	1190	791	534	304	-16	-386	-504	-636	-764	-577
-68	-119	-119	-119	-6210	-3408	1874	2537	2883	2883	3132	2244	1372	1214	994	700	507	37	-372	-649	-843	-778	-836	-700
86	49	-166	-1597	-4683	-3287	107	1254	2114	2509	2739	2154	1716	1470	825	226	-650	-887	-724	-450	-128	-186	-301	-324
-108	-29	-52	-71	-5701	-5701	-5701	934	1976	2586	2761	2738	2738	1371	1047	811	304	304	304	-656	-764	-565	-541	-441
8	8	221	-36	-2290	-6335	-6335	-196	2260	2741	2812	2614	2332	1797	1509	855	855	342	-424	-1166	-1269	-653	-612	-607
66	12	2	-51	-358	-5229	-4524	-2488	1546	2022	2386	2248	2070	1520	1023	823	345	21	-315	-424	-535	-561	-570	-459
-62	-59	-63	-63	-63	-6866	-4069	-2536	1893	2703	2898	2898	2898	1908	1420	1316	1316	679	206	-139	-626	-765	-765	-866
48	121	97	-13	-3	-179	-5541	-3852	-662	2037	2162	2078	1811	1075	878	561	561	162	-59	-237	-319	-451	-487	-261
-37	-44	-44	-44	-1995	498	2343	2343	2343	2343	2881	2384	2285	2189	1086	387	-963	-1748	-574	-314	-314	-314	-89	-162
