12	0	54	-44	-1980	-7012	-3117	103	2420	3564	3883	3690	3132	1727	1404	877	443	-59	-374	-447	-327	-547	-800	-800
0	-32	-17	-110	-135	-135	-135	-796	1546	2223	2240	1632	1632	1632	286	31	-72	-72	-350	-350	-339	-370	-370	-370
-78	-75	-41	-129	-3469	-5632	-3328	-911	2288	2874	2946	2426	1935	1234	867	28	-199	-319	-470	-549	-612	-496	-397	-350
-15	46	72	-14	-213	-5460	-4557	-2050	1183	2878	2988	2603	2110	1369	943	395	115	-203	-539	-592	-592	-592	-574	-550
-38	-22	-52	-52	-6016	-3605	-3605	-3605	-3605	3115	3340	3232	2274	1131	639	-30	-154	-265	-429	-490	-647	-786	-624	-600
-3	18	32	9	9	9	63	122	60	2537	5276	5276	5276	-2111	-2338	-2338	-2338	-2035	-1270	-995	-671	-671	-671	-671
-18	-93	-162	-107	-16	-16	-16	62	160	3321	3792	3792	3792	-3045	-2393	-2039	-1278	-1278	-1278	-252	-328	-375	-557	-550
44	103	162	101	23	-8	34	101	134	4217	4584	996	-1680	-1842	-1856	-1852	-1690	-1360	-1149	-793	-617	-302	-131	-131
7	7	5	-22	-90	-84	-72	-31	14	177	4054	1954	965	-776	-1339	-1456	-1233	-924	-827	-699	-545	-157	-34	-30
58	82	6	-28	14	14	14	47	75	2198	4421	-478	-2177	-2006	-2006	-2111	-2111	-1204	-986	-851	-653	-87	-87	-85
3	113	82	146	146	54	114	154	116	-22	4580	3007	20	-2376	-2268	-2366	-2056	-1815	-1584	-631	-244	157	157	524
-128	-74	36	61	-38	-38	68	57	119	222	3243	2221	-1498	-2303	-1729	-1215	-1312	-1182	-751	-541	-541	91	323	558
-292	-418	-414	-378	-224	-224	-224	-224	6	26	6260	4026	4026	4026	-2506	-2603	-2612	-2612	-2612	-1404	-177	-8	74	74
180	13	80	99	87	79	-143	-188	140	2869	5108	5108	-1243	-1620	-1761	-1528	-1460	-1460	-1460	-624	-426	-160	-119	-119
145	124	183	263	263	263	146	105	40	-94	5988	3514	87	87	-1893	-2055	-2055	-2055	-2055	-1414	-576	-327	-327	566
-62	-59	-63	-63	-63	-6866	-4069	-2536	1893	2703	2898	2898	2898	1908	1420	1316	1316	679	206	-139	-626	-765	-765	-866
48	121	97	-13	-3	-179	-5541	-3852	-662	2037	2162	2078	1811	1075	878	561	561	162	-59	-237	-319	-451	-487	-261
-37	-44	-44	-44	-1995	498	2343	2343	2343	2343	2881	2384	2285	2189	1086	387	-963	-1748	-574	-314	-314	-314	-89	-162
-18	-69	-71	-119	-4822	-6644	-3209	-352	2529	2521	2721	2450	1718	1386	1188	835	492	222	-325	-546	-622	-713	-654	-619
-230	-243	-284	-284	-284	-4147	-3159	-626	476	476	4857	4808	4817	4531	4223	3299	2475	1337	210	-456	-827	-827	-827	-1761
